logr,gini,permutation,shap
-4.11237436846451e-21,0.0,0.0,4.953706901732136e-09
2.323859803525916e-19,0.14391143911439114,0.0,0.12247707503384098
2.7202743547651947e-22,0.0,0.0,0.0
-6.564036584138973e-22,0.0,0.0,0.0
-5.580452358381272e-20,0.007380073800738006,0.0,0.01919675162445912
3.089588441993396e-22,0.0,0.0,1.651235633910712e-09
9.483757908987138e-22,0.0,0.0,0.0
-8.769282277456286e-20,0.014760147601476016,0.0,0.0166796709086868
-3.578246454436749e-21,0.0,0.0,0.0
5.68472897931255e-22,0.0,0.0,0.0
-6.576961708092214e-20,0.01107011070110701,0.0,0.029841196058470233
4.286531867875201e-21,0.0,0.0,0.0
2.960417200075041e-21,0.0,0.0,3.302471267821424e-09
7.33430881387253e-20,0.003690036900369004,0.0,0.037122183772056914
-5.748720443942865e-21,0.0,0.0,0.0
8.871252608001916e-22,0.0,0.0,1.651235633910712e-09
-5.46087123641596e-20,0.0,0.0,0.05648436636494069
1.112295116825984e-21,0.0,0.0,1.6512356338976756e-09
-7.86121055243144e-22,0.0,0.0,0.0
-1.7638215489883667e-19,0.014760147601476016,0.0,0.052994350414149474
-1.5524778514923422e-21,0.0,0.0,1.651235633910712e-09
2.6552174495199293e-23,0.0,0.0,0.0
-1.1320346212716297e-19,0.0,0.0,0.02380302882486583
2.833489656543128e-22,0.0,0.0,1.6512356338976756e-09
3.630184308962018e-22,0.0,0.0,1.651235633910712e-09
-5.415530061004112e-19,0.003690036900369004,0.0,0.011941472640604071
-3.585810779873124e-21,0.0,0.0,0.0
1.864400212422373e-21,0.0,0.0,0.0
-4.3746760452310336e-20,0.014760147601476016,0.0,0.04226242457120984
-2.7064075412529284e-21,0.0,0.0,1.651235633910712e-09
5.225100825215749e-21,0.0,0.0,0.0
-2.1091120386632078e-19,0.018450184501845022,0.0,0.05024187349102547
1.8303364265496473e-21,0.0,0.0,0.0
-2.0589601853745053e-22,0.0,0.0,0.0
2.963867933377768e-19,0.022140221402214024,0.0,0.01588864455182156
-2.8557180163790664e-21,0.0,0.0,0.0
-5.033994405716185e-21,0.0,0.0,1.651235633910712e-09
-1.371695119877111e-19,0.018450184501845022,0.0,0.012214178471236032
-7.986651114728287e-23,0.0,0.0,0.0
1.57283271559264e-21,0.0,0.0,0.0
-5.580452358381273e-19,0.12546125461254615,0.0,0.02954413872206264
3.59686983677701e-21,0.0,0.0,3.302471267821424e-09
-1.8427262197619265e-21,0.0,0.0,0.0
-5.130030132311927e-19,0.0922509225092251,0.0,0.023919544552092362
6.954274688414107e-22,0.0,0.0,0.0
-2.8498373464132607e-21,0.0,0.0,0.0
-3.1250533206935128e-19,0.0885608856088561,0.0,0.06555899695200461
-1.1789479621070507e-21,0.0,0.0,1.651235633910712e-09
3.373184148771537e-20,0.025830258302583026,0.0,0.016415065260324654
6.039843168598016e-19,0.029520295202952032,0.0,0.037782381032544214
1.4210223326878026e-19,0.040590405904059046,0.0,0.07401631025353728
-1.2476297058380988e-19,0.01107011070110701,0.0,0.020870190506583244
-7.046815866480924e-19,0.05535055350553506,0.0,0.02541790993770463
-2.740400711705089e-19,0.08118081180811809,0.0,0.028257807449244336
-2.0846975595952898e-19,0.036900369003690044,0.0,0.03582642573260757
-1.6322823148265224e-19,0.04797047970479705,0.0,0.01756170135636706
9.955367565856237e-17,0.0,0.3881059368191721,0.006209838267357246
1.5233040523421337e-17,0.0,0.3881059368191721,0.005423376980740224
4.4490555030934584e-17,0.05166051660516605,0.5379901960784313,0.026353770942256258
-8.354096621992719e-17,0.003690036900369004,0.36492374727668847,0.04996162674245932
-1.750029859588367e-17,0.022140221402214024,0.5947712418300654,0.018916548083225484
9.503988690811169e-17,0.007380073800738008,0.37445533769063183,0.012035470008814435
2.160496046771703e-16,0.00738007380073801,0.5819716775599129,0.01478165407293742
